Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) tmax(C) tmin(C) vp(Pa),, prcp(mm/day) ,srad(W/m2), tmax(C) ,tmin(C) ,vp(Pa),Runoff (t-1),FFNN-Runoff(t-1),,,Runoff (t)
1992 03 07 12,41471.98,48.9,165.09,20.59,13.56,1564.54,1300,1300,,,7740
1992 03 08 12,41471.98,0,393.72,24.52,9.89,1230.9,7740,7740,,,5680
1992 03 09 12,41638.14,0,442.19,25.39,7.35,1028.26,5680,5680,,,1090
1992 03 10 12,41817.61,0,417.22,25.78,9.77,1221.38,1090,1090,,,592
1992 03 11 12,41817.61,7.63,355.73,17.98,-1.28,560,592,592,,,614
1992 03 12 12,42163.22,0,411.96,11.35,-2.48,520,614,614,,,517
1992 03 13 12,42163.22,0,425.53,14.68,0.02,614.5,517,517,,,383
1992 03 14 12,42163.22,0,464.97,14.13,-2.98,481.74,383,383,,,315
1992 03 15 12,42508.8,0,482.74,17.48,-1.87,530.31,315,315,,,274
1992 03 16 12,42508.8,0,502.43,17.2,-4.47,440,274,274,,,247
1992 03 17 12,42544.02,0,475.84,16.13,-2.78,499.11,247,247,,,224
1992 03 18 12,42854.39,0,478.78,22.31,2.29,722.68,224,224,,,213
1992 03 19 12,42854.39,9.83,230.35,20.58,10.19,1255.45,213,213,,,224
1992 03 20 12,43199.98,5.94,317.36,22.08,6.06,932.31,224,224,,,408
1992 03 21 12,43199.98,5.12,318.77,13.37,-1.68,545.7,408,408,,,465
1992 03 22 12,43199.98,0,451.92,17.24,0.41,632.15,465,465,,,353
1992 03 23 12,43545.6,13.25,218.52,14.43,5.35,907.68,353,353,,,637
1992 03 24 12,43545.6,0,453.32,15.6,-0.65,588.19,637,637,,,800
1992 03 25 12,43855.98,0,430.04,14.94,0.04,603.52,800,800,,,455
1992 03 26 12,43891.2,24.21,195.77,12.12,4.19,821.88,455,455,,,2380
1992 03 27 12,43891.2,0,394.18,18.87,5.44,910.03,2380,2380,,,1470
1992 03 28 12,44236.83,0,498.13,18.55,-0.99,560.86,1470,1470,,,641
1992 03 29 12,44236.83,0,485.47,19.24,0.65,638.75,641,641,,,428
1992 03 30 12,44236.83,1.32,377.33,19.33,6.65,971.92,428,428,,,365
1992 03 31 12,44582.39,6.94,224.2,18.67,9.34,1187.13,365,365,,,431
1992 04 01 12,44582.39,0,491.41,21.59,3.12,769.6,431,431,,,396
1992 04 02 12,44761.86,0,516.16,19.94,-0.05,606.8,396,396,,,316
1992 04 03 12,44927.99,0,492.06,14.11,-3.05,480,316,316,,,260
1992 04 04 12,44927.99,0,487.09,16.04,-1,560.12,260,260,,,228
1992 04 05 12,45273.6,0,528.46,21.84,0.37,625.37,228,228,,,213
1992 04 06 12,45273.6,0,499.67,19.19,0.39,630.86,213,213,,,202
1992 04 07 12,45273.6,0,453.71,18.87,2.99,759.53,202,202,,,195
1992 04 08 12,45619.18,3.73,235.97,18.85,9.34,1186.81,195,195,,,204
1992 04 09 12,45619.18,0,470.38,25.54,8.16,1092.43,204,204,,,207
1992 04 10 12,45644.6,0,489.15,27.01,8.26,1100.65,207,207,,,193
1992 04 11 12,45964.79,0,464.42,27.84,10.5,1280.12,193,193,,,178
1992 04 12 12,45964.79,0.17,409.08,27,12.7,1456.74,178,178,,,172
1992 04 13 12,46275.18,2.7,361.41,27.39,13.5,1560,172,172,,,168
1992 04 14 12,46310.4,0,503.2,23.8,5.1,887.65,168,168,,,157
1992 04 15 12,46310.4,0,512.22,26.95,7.13,1010.09,157,157,,,144
1992 04 16 12,46656,2.7,377.78,29.93,13.12,1498.71,144,144,,,136
1992 04 17 12,46656,0,443.97,30.14,14.15,1611.93,136,136,,,140
1992 04 18 12,46656,0,454.16,29.46,13,1480,140,140,,,131
1992 04 19 12,47001.61,0,419.32,28.47,13.99,1598.94,131,131,,,121
1992 04 20 12,47001.61,5.7,233.36,26.77,16.83,1906.12,121,121,,,110
1992 04 21 12,47001.61,26.94,230.42,26.03,16.44,1866.31,110,110,,,792
1992 04 22 12,47347.21,15.31,325.33,26.02,11.55,1363.62,792,792,,,1750
1992 04 23 12,47347.21,0,498.64,27.01,8.93,1154.68,1750,1750,,,685
1992 04 24 12,47347.21,0,513.86,29.19,9.55,1204.26,685,685,,,333
1992 04 25 12,47692.81,0,489.51,30.35,11.83,1386.5,333,333,,,230
1992 04 26 12,47692.81,0,494.66,23.92,6.3,944.85,230,230,,,184
1992 04 27 12,47692.81,0,415.68,17.8,4.85,868.11,184,184,,,168
1992 04 28 12,48038.4,0,378.92,16.9,5.59,917.93,168,168,,,142
1992 04 29 12,48038.4,0,481.59,18.46,2.67,735.06,142,142,,,134
1992 04 30 12,48038.4,0,504.63,21.67,4.04,802.82,134,134,,,125
1992 05 01 12,48383.99,0,481.78,25.32,8.51,1121,125,125,,,120
1992 05 02 12,48383.99,0,498.35,28.66,10.36,1268.48,120,120,,,115
1992 05 03 12,48383.99,0,465.69,30.49,13.68,1574.62,115,115,,,106
1992 05 04 12,48694.35,0,521.01,29.52,9.52,1201.78,106,106,,,95
1992 05 05 12,48729.61,0,494.26,26.48,8.99,1158.96,95,95,,,85
1992 05 06 12,48729.61,0,426.64,22.33,8.84,1147.11,85,85,,,80
1992 05 07 12,48789.93,7.21,176.77,13.02,6.61,969.06,80,80,,,74
1992 05 08 12,49075.19,20.83,112.24,9.75,5.99,924.21,74,74,,,77
1992 05 09 12,49075.19,6.46,220.12,15.13,7.17,1013.94,77,77,,,211
1992 05 10 12,49075.19,0,516.75,25.72,8,1080,211,211,,,230
1992 05 11 12,49385.59,0,510.37,29.02,11.04,1322.89,230,230,,,169
1992 05 12 12,49420.81,0,494.26,28.97,11.88,1390.42,169,169,,,129
1992 05 13 12,49420.81,0,457.96,28.5,13.35,1535.47,129,129,,,107
1992 05 14 12,49446.23,3.57,340.82,24.92,12,1400,107,107,,,98
1992 05 15 12,49763.71,0,477.41,28.85,12.98,1478.61,98,98,,,104
1992 05 16 12,49766.41,0,472.96,29.32,13.61,1568.73,104,104,,,95
1992 05 17 12,49766.41,0,461.63,29.32,14.18,1614.77,95,95,,,84
1992 05 18 12,49791.83,0,463.46,29.58,14.36,1629.35,84,84,,,74
1992 05 19 12,50076.75,0,456.41,30.4,15.35,1746.54,74,74,,,64
1992 05 20 12,50111.99,4.53,333.9,29.34,16.54,1880.98,64,64,,,102
1992 05 21 12,50111.99,0,400.61,26.15,14,1599.62,102,102,,,55
1992 05 22 12,50111.99,0,518.45,27.29,9.37,1189.72,55,55,,,46
1992 05 23 12,50226.32,0,555.45,29.11,8,1080,46,46,,,41
1992 05 24 12,50457.61,0,550.04,31.62,10.18,1237.51,41,41,,,37
1992 05 25 12,50457.61,0,513.39,32.39,13.41,1539.46,37,37,,,35
1992 05 26 12,50457.61,0,438.25,30.4,15.95,1801.33,35,35,,,32
1992 05 27 12,50457.61,0,406.22,26.76,14.24,1618.98,32,32,,,30
1992 05 28 12,50571.95,0,390.25,24.76,13.08,1492.35,30,30,,,28
1992 05 29 12,50767.96,5.33,244.65,23.15,13.87,1587.4,28,28,,,26
1992 05 30 12,50803.17,5.33,139.99,18.74,13.88,1587.83,26,26,,,27
1992 05 31 12,50803.17,0,366.83,24.5,14.16,1614.89,27,27,,,29
1992 06 01 12,50803.17,0,479.8,26.96,12.02,1401.47,29,29,,,34
1992 06 02 12,50803.17,0,448.1,24.58,11.5,1360.27,34,34,,,37
1992 06 03 12,50828.59,0,452.03,26.74,13.36,1533.24,37,37,,,36
1992 06 04 12,50982.64,32.67,249.43,26.03,17.02,1922.44,36,36,,,161
1992 06 05 12,51113.55,3.4,372.59,29.03,15.37,1749.75,161,161,,,267
1992 06 06 12,51148.8,0,465.99,29.38,15,1666.96,267,267,,,158
1992 06 07 12,51148.8,0,459.58,32.37,17.39,1926.63,158,158,,,104
1992 06 08 12,51148.8,0,416.38,33.25,19.73,2280.98,104,104,,,74
1992 06 09 12,51148.8,33.21,272.97,31.88,20.72,2435.36,74,74,,,194
1992 06 10 12,51148.8,7.81,199.58,28.93,21.4,2544.23,194,194,,,304
1992 06 11 12,51148.8,0.02,326.78,29.39,20.16,2346.63,304,304,,,221
1992 06 12 12,51154.41,17.33,283.28,25.65,15.4,1751.98,221,221,,,707
1992 06 13 12,51174.22,3.81,154.87,20.77,16.22,1835.96,707,707,,,303
1992 06 14 12,51209.12,18.8,191.39,23.44,17.14,1943.01,303,303,,,337
1992 06 15 12,51263.11,0,392.84,28.63,18,2080.17,337,337,,,450
1992 06 16 12,51328.23,3.01,328.7,29.96,19.02,2203.65,450,450,,,470
1992 06 17 12,51328.23,0,386.16,29.9,19.5,2280,470,470,,,212
1992 06 18 12,51393.96,0,457.96,29.41,16.54,1877.63,212,212,,,136
1992 06 19 12,51393.96,0.05,441.06,30.48,18.08,2085.78,136,136,,,103
1992 06 20 12,51393.96,0,470.29,32.24,18.16,2089.6,103,103,,,83
1992 06 21 12,51393.96,0,470.42,31.23,17.5,1999.88,83,83,,,73
1992 06 22 12,51393.96,0,509.09,30.39,15.13,1707.13,73,73,,,63
1992 06 23 12,51328.23,0,477.25,27.44,14.6,1656.03,63,63,,,59
1992 06 24 12,51328.23,0,482.94,30.29,16.75,1896.19,59,59,,,51
1992 06 25 12,51263.11,0,516.91,32.96,17.02,1847.92,51,51,,,44
1992 06 26 12,51209.12,0,497.99,34.04,18.73,2076.08,44,44,,,40
1992 06 27 12,51174.22,2.3,425.9,33.22,19.4,2248.41,40,40,,,36
1992 06 28 12,51154.41,0,427.73,31.23,19.52,2274.3,36,36,,,35
1992 06 29 12,51148.8,8.13,300.1,30.8,19.99,2319.18,35,35,,,94
1992 06 30 12,51148.8,21.92,297.97,30.71,20,2323.48,94,94,,,109
1992 07 01 12,51148.8,14.75,306.32,31.66,20.48,2397.19,109,109,,,181
1992 07 02 12,51148.8,10.79,298.4,31.3,20.59,2415.17,181,181,,,127
1992 07 03 12,51148.8,0,389.7,30.71,20.45,2392.7,127,127,,,86
1992 07 04 12,51148.8,9.15,337.82,32.78,20,2320,86,86,,,72
1992 07 05 12,51148.8,0,498.71,33.05,17.6,2014.88,72,72,,,69
1992 07 06 12,51048.39,4.7,354.38,33.14,19,2199.61,69,69,,,61
1992 07 07 12,50917.51,0,450.44,32.37,19.48,2277.17,61,61,,,60
1992 07 08 12,50808.79,0,461.59,33.74,20,2320.4,60,60,,,47
1992 07 09 12,50803.17,0,481.62,35.58,20.15,2343.29,47,47,,,39
1992 07 10 12,50803.17,0,468.72,36.16,21,2479.03,39,39,,,33
1992 07 11 12,50803.17,0,454.38,36.58,21.85,2614.64,33,33,,,28
1992 07 12 12,50803.17,0,462.4,36.49,21.26,2521.31,28,28,,,24
1992 07 13 12,50702.79,0,461.34,36.48,21.05,2486.64,24,24,,,21
1992 07 14 12,50483.03,0,418.45,35.92,22.43,2709.3,21,21,,,19
1992 07 15 12,50457.61,0,418.02,34.64,21.43,2548.92,19,19,,,15
1992 07 16 12,50457.61,0,384.45,32.67,21.15,2503.39,15,15,,,13
1992 07 17 12,50457.61,0,364.21,32.25,21.5,2560,13,13,,,12
1992 07 18 12,50422.38,8.79,315.41,32.86,19.91,2317.16,12,12,,,14
1992 07 19 12,50137.41,8.29,303.36,32.16,19.99,2319.59,14,14,,,17
1992 07 20 12,50111.99,0,429.2,32.16,19.02,2203.99,17,17,,,16
1992 07 21 12,50111.99,0,443.51,33.05,19.09,2214.61,16,16,,,19
1992 07 22 12,50111.99,0,430.97,33.6,20.08,2334.28,19,19,,,18
1992 07 23 12,49945.82,16.32,299.4,32.41,20.43,2389.42,18,18,,,44
1992 07 24 12,49766.41,1.56,335.85,31.08,21,2480,44,44,,,37
1992 07 25 12,49766.41,0,380.18,32.55,21.38,2540.27,37,37,,,33
1992 07 26 12,49766.41,0,386.68,33.75,22.18,2669.22,33,33,,,30
1992 07 27 12,49600.27,0,392.14,34.37,22.51,2721.39,30,30,,,22
1992 07 28 12,49420.81,5.1,328.08,34.2,22.36,2697.26,22,22,,,19
1992 07 29 12,49420.81,0,438.71,33.11,19.58,2281.22,19,19,,,16
1992 07 30 12,49420.81,0,452.37,34.23,19.69,2295.17,16,16,,,13
1992 07 31 12,49135.52,0,438.08,34.66,20.55,2408.45,13,13,,,14
1992 08 01 12,49075.19,8.38,352.81,33.83,19.5,2280,14,14,,,12
1992 08 02 12,49075.19,0,418.33,32.48,19.58,2278.97,12,12,,,11
1992 08 03 12,49039.95,0,464.99,32.85,17.68,2028.25,11,11,,,12
1992 08 04 12,48729.61,0.26,442.87,33.15,18.81,2169.53,12,12,,,17
1992 08 05 12,48729.61,0,450.37,34.24,19.37,2259.22,17,17,,,13
1992 08 06 12,48729.61,0,415.46,32.91,19.9,2312.03,13,13,,,10
1992 08 07 12,48409.41,0,284.89,27.99,20.19,2351.1,10,10,,,10
1992 08 08 12,48383.99,10.2,273.95,30.51,20,2319.85,10,10,,,20
1992 08 09 12,48383.99,0,416.59,33.44,20.52,2402.74,20,20,,,37
1992 08 10 12,48152.71,6.28,408.62,35.81,19,2199.33,37,37,,,18
1992 08 11 12,48038.4,0.03,465.1,35.42,19.5,2278.89,18,18,,,16
1992 08 12 12,48038.4,0,433.94,35.19,20.92,2466.71,16,16,,,14
1992 08 13 12,47872.24,15.86,305.37,33.06,20.46,2394.21,14,14,,,31
1992 08 14 12,47692.81,61.18,206.75,25.89,18.68,2148.77,31,31,,,342
1992 08 15 12,47692.81,3.95,210.03,24.49,18.14,2091.31,342,342,,,341
1992 08 16 12,47592.43,0,305.25,26.47,18.5,2119.97,341,341,,,152
1992 08 17 12,47347.21,6.93,272.55,28.1,19.11,2217.58,152,152,,,141
1992 08 18 12,47347.21,16.33,222.56,26.57,18.93,2189.59,141,141,,,372
1992 08 19 12,47246.78,0,388.37,29.57,18.77,2163.33,372,372,,,146
1992 08 20 12,47001.61,20.58,288.59,30.48,19.69,2295.41,146,146,,,308
1992 08 21 12,47001.61,6.29,273.77,29.35,19.83,2306.8,308,308,,,255
1992 08 22 12,46770.35,5.58,198.15,26.74,20.14,2341.98,255,255,,,171
1992 08 23 12,46656,9.67,203.83,27.45,20.61,2418.22,171,171,,,206
1992 08 24 12,46656,8.02,293.63,28.85,19.77,2302.36,206,206,,,228
1992 08 25 12,46316.02,0,400.83,30.12,19,2200,228,228,,,150
1992 08 26 12,46310.4,0,414.34,30.95,19.09,2215.1,150,150,,,89
1992 08 27 12,46310.4,0,377.91,30.99,20.5,2399.36,89,89,,,83
1992 08 28 12,45964.79,4.82,288.96,30.83,20.12,2339.71,83,83,,,73
1992 08 29 12,45964.79,0,490.13,29.79,14.35,1628.31,73,73,,,56
1992 08 30 12,45964.79,0,482.14,28.85,14.04,1602.86,56,56,,,45
1992 08 31 12,45619.18,0,492.85,30.03,14.04,1603.04,45,45,,,37
1992 09 01 12,45619.18,0,494.46,31.4,14.63,1661.1,37,37,,,31
1992 09 02 12,45616.5,0,468.03,31.71,16.51,1881.11,31,31,,,28
1992 09 03 12,45273.6,0.8,407.25,31.33,18.5,2124.16,28,28,,,23
1992 09 04 12,45273.6,0.55,390.16,31.28,19.38,2259.75,23,23,,,20
1992 09 05 12,44927.99,7.23,292.29,30.44,19.24,2237.76,20,20,,,20
1992 09 06 12,44927.99,6.35,215.7,27.74,20.23,2356.05,20,20,,,26
1992 09 07 12,44927.99,4.53,254.1,28.7,19.51,2280.75,26,26,,,48
1992 09 08 12,44582.39,0,396.64,30.6,18.99,2199.03,48,48,,,62
1992 09 09 12,44582.39,0,413.34,31.44,18.95,2192.49,62,62,,,35
1992 09 10 12,44582.39,0,410.85,31.33,19,2199.89,35,35,,,28
1992 09 11 12,44236.83,0,417.85,31.39,18.68,2148.45,28,28,,,23
1992 09 12 12,44236.83,0,411.36,30.87,18.51,2120.8,23,23,,,18
1992 09 13 12,43891.2,0,429.12,27.65,14.9,1704,18,18,,,17
1992 09 14 12,43891.2,0,444.02,27.21,13.47,1554.32,17,17,,,15
1992 09 15 12,43891.2,0,455.47,27.71,12.89,1471.07,15,15,,,13
1992 09 16 12,43545.6,0,438.84,28.4,14.11,1609.43,13,13,,,11
1992 09 17 12,43545.6,0,423.44,30.21,16.06,1816.6,11,11,,,9.2
1992 09 18 12,43545.6,0,413.25,31.2,17.17,1948.01,9.2,9.2,,,8.7
1992 09 19 12,43199.98,0,378.31,30.4,18.12,2089,8.7,8.7,,,7.8
1992 09 20 12,43199.98,0,368.89,31.17,19,2199.37,7.8,7.8,,,7.1
1992 09 21 12,42854.39,1.68,312.56,30.15,19.84,2306.92,7.1,7.1,,,298
1992 09 22 12,42854.39,0,326.51,30.36,19.78,2302.35,298,298,,,34
1992 09 23 12,42854.39,0,357.32,31.54,19.28,2245.05,34,34,,,14
1992 09 24 12,42508.8,12.02,315.47,25.78,11.28,1342.4,14,14,,,16
1992 09 25 12,42508.8,16.16,164.83,16.92,10.92,1313.31,16,16,,,28
1992 09 26 12,42508.8,0,269.58,20.16,12.5,1439.91,28,28,,,51
1992 09 27 12,42163.22,3.57,196.32,21.71,14.66,1667.94,51,51,,,42
1992 09 28 12,42163.22,12.2,193.39,25.3,17.67,2023.44,42,42,,,96
1992 09 29 12,41817.61,0,330.38,26.54,16.31,1849.02,96,96,,,54
1992 09 30 12,41817.61,0,439.5,25.46,9.55,1203.76,54,54,,,41
1992 10 01 12,41817.61,0,433.75,21.25,6.5,960,41,41,,,29
1992 10 02 12,41471.98,0,438.93,21.37,6.01,920.49,29,29,,,22
1992 10 03 12,41471.98,0,416.62,21.78,7.69,1054.88,22,22,,,18
1992 10 04 12,41471.98,38.87,234.69,21.98,12.62,1452.52,18,18,,,147
1992 10 05 12,41126.39,18.56,182.12,19.6,12.78,1462.18,147,147,,,619
1992 10 06 12,41126.39,1.13,343.97,17.2,6.83,986.74,619,619,,,328
1992 10 07 12,40783.48,0,407.03,20.58,6.57,965.87,328,328,,,161
1992 10 08 12,40780.8,0,398.26,22.53,8.55,1123.82,161,161,,,250
1992 10 09 12,40780.8,55.71,228.45,23.2,13.58,1563.19,250,250,,,3100
1992 10 10 12,40435.21,0,429.31,25.51,7.92,1073.3,3100,3100,,,878
1992 10 11 12,40435.21,6.36,303.21,23.35,8.05,1084.22,878,878,,,331
1992 10 12 12,40435.21,0.16,430.63,22.37,4.53,842.66,331,331,,,194
1992 10 13 12,40089.6,0,423.27,22.6,5,880,194,194,,,132
1992 10 14 12,40089.6,0,425.36,26.16,6.86,988.99,132,132,,,98
1992 10 15 12,40083.98,0,410.8,27.58,9.07,1165.33,98,98,,,77
1992 10 16 12,39743.98,0,388.53,27.14,10.5,1279.98,77,77,,,66
1992 10 17 12,39743.98,0,349.99,25.88,12.09,1407.09,66,66,,,56
1992 10 18 12,39629.68,0,327.96,19.89,8.07,1085.44,56,56,,,48
1992 10 19 12,39398.4,0,388.66,17.41,1.85,708.15,48,48,,,43
1992 10 20 12,39398.4,0,400.47,17.25,0.26,621.06,43,43,,,40
1992 10 21 12,39218.96,0,407.04,20.62,1.72,697.51,40,40,,,36
1992 10 22 12,39052.82,0,389.39,23.84,5.64,919.91,36,36,,,33
1992 10 23 12,39052.82,0,364.82,23.54,7.27,1021.48,33,33,,,31
1992 10 24 12,38807.61,0,366.23,22.76,6.23,938.11,31,31,,,30
1992 10 25 12,38707.19,0,360.23,24.77,7.81,1065.19,30,30,,,30
1992 10 26 12,38707.19,0,375.86,23.73,4.87,869.94,30,30,,,29
1992 10 27 12,38527.77,0,373.89,24.94,5.36,908.85,29,29,,,28
1992 10 28 12,38361.6,0,342.93,25.26,8.06,1084.9,28,28,,,28
1992 10 29 12,38361.6,0,292.89,23.52,9.9,1231.96,28,28,,,27
1992 10 30 12,38247.28,0,292.73,24.29,10.5,1280.12,27,27,,,30
1992 10 31 12,38016.01,8.47,204.71,24.7,11.94,1395.53,30,30,,,37
1992 11 01 12,38016.01,0,277.36,24.12,11.14,1331,37,37,,,58
1992 11 02 12,37990.59,0,212.28,22.75,13.36,1535.68,58,58,,,63
1992 11 03 12,37670.38,12.94,198.45,22.27,10.06,1244.92,63,63,,,61
1992 11 04 12,37670.38,6.67,203.37,23.91,10.86,1308.97,61,61,,,107
1992 11 05 12,37670.38,34.68,108.38,21.37,14.95,1711.39,107,107,,,909
1992 11 06 12,37360.03,2.24,300.11,19.31,3.13,769.81,909,909,,,609
1992 11 07 12,37324.82,0,244.38,14.46,3.62,793.53,609,609,,,283
1992 11 08 12,37324.82,0,280.36,13.36,0.32,623.73,283,283,,,174
1992 11 09 12,37264.5,0,294.6,13.65,-0.41,600,174,174,,,125
1992 11 10 12,36979.21,0,281.9,14.12,0.81,643.01,125,125,,,98
1992 11 11 12,36979.21,0,243.44,14.66,3.67,797.47,98,98,,,82
1992 11 12 12,36979.21,13.07,148.31,18.76,9.93,1234.2,82,82,,,168
1992 11 13 12,36799.76,29.46,215.22,21.31,7.01,1000.84,168,168,,,2000
1992 11 14 12,36633.6,0,328.02,16.5,-0.92,566.16,2000,2000,,,979
1992 11 15 12,36633.6,0,310.22,15.14,-0.57,594.15,979,979,,,371
1992 11 16 12,36633.6,0,323.43,15.59,-1.76,539.82,371,371,,,239
1992 11 17 12,36519.29,0,306.24,13.08,-2.66,507.37,239,239,,,178
1992 11 18 12,36288,0,335.09,18.14,-1.88,529.3,178,178,,,145
1992 11 19 12,36288,0,333.44,22.18,1.11,650.18,145,145,,,127
1992 11 20 12,36288,0,306.19,21.42,3.87,803.94,127,127,,,111
1992 11 21 12,36262.58,5.02,92.74,13.49,8.14,1091.43,111,111,,,928
1992 11 22 12,35977.61,40.84,147.94,20.52,11.14,1331.36,928,928,,,4800
1992 11 23 12,35942.39,20.17,172.72,22,10.62,1289.71,4800,4800,,,5080
1992 11 24 12,35942.39,0,200.03,19.43,10.13,1250.1,5080,5080,,,1330
1992 11 25 12,35942.39,11.58,100.09,16.57,10.8,1303.82,1330,1330,,,1210
1992 11 26 12,35916.96,50.24,123.8,18.26,11.12,1329.85,1210,1210,,,10300
1992 11 27 12,35697.22,12.01,177.6,17.26,6.6,969.31,10300,10300,,,10500
1992 11 28 12,35596.83,0,301.86,14.92,-0.65,587.71,10500,10500,,,2280
1992 11 29 12,35596.83,0,277.88,12.8,-0.44,597.62,2280,2280,,,763
1992 11 30 12,35596.83,0,300.62,13.47,-2.14,520,763,763,,,513
1992 12 01 12,35596.83,0,297.71,14.53,-1.12,566.62,513,513,,,395
1992 12 02 12,35591.22,0,276.73,12.74,-1,560,395,395,,,329
1992 12 03 12,35482.51,0,299.77,13.07,-3.2,480.26,329,329,,,277
1992 12 04 12,35351.64,0,289.17,13.53,-1.83,532.88,277,277,,,238
1992 12 05 12,35251.2,0,229.1,14.13,3.18,774.68,238,238,,,223
1992 12 06 12,35251.2,0,291.41,10.59,-5.03,434.61,223,223,,,212
1992 12 07 12,35251.2,8.71,154.78,6.3,-2.94,495.81,212,212,,,207
1992 12 08 12,35251.2,1.5,200.86,10.55,0.54,633.66,207,207,,,253
1992 12 09 12,35251.2,0,217.79,7.81,-2.04,526.97,253,253,,,235
1992 12 10 12,35251.2,9.97,106.22,5.37,-0.53,588.13,235,235,,,235
1992 12 11 12,35251.2,1.75,146.74,7.7,1.57,685.43,235,235,,,409
1992 12 12 12,35245.58,0,263.33,11.35,-1.62,550.45,409,409,,,348
1992 12 13 12,35225.77,0,289.08,13.11,-2.51,515.97,348,348,,,253
1992 12 14 12,35190.87,0,267.56,12.1,-1.27,559.73,253,253,,,219
1992 12 15 12,35136.88,0,225.5,8.06,-2.02,520,219,219,,,209
1992 12 16 12,35071.75,0,210.13,8.8,-0.28,601.22,209,209,,,197
1992 12 17 12,35071.75,10.93,187.61,16.72,4.73,857.69,197,197,,,660
1992 12 18 12,35006.02,12.62,224.05,16.91,0.23,619.32,660,660,,,1750
1992 12 19 12,35006.02,0,284.62,14.85,0.4,630.85,1750,1750,,,672
1992 12 20 12,35006.02,0.5,229.59,14.64,4.13,823.43,672,672,,,422
1992 12 21 12,35006.02,3.15,194.19,16.88,4.98,877.64,422,422,,,374
1992 12 22 12,35006.02,6.45,98.92,10.01,4.83,866.01,374,374,,,447
1992 12 23 12,35071.75,0.35,228.78,16.51,6.37,949.76,447,447,,,466
1992 12 24 12,35071.75,1.29,272.12,20.8,6.71,976.84,466,466,,,387
1992 12 25 12,35136.88,0,303.68,12.66,-4.04,445.44,387,387,,,322
1992 12 26 12,35190.87,0.15,251.08,9.59,-1.95,524.06,322,322,,,271
1992 12 27 12,35225.77,4.19,193.64,10.77,0.34,627.15,271,271,,,508
1992 12 28 12,35245.58,52.25,74.47,3.31,-0.41,600,508,508,,,6920
1992 12 29 12,35251.2,4.23,157.05,9.16,1.55,684.11,6920,6920,,,5360
1992 12 30 12,35251.2,0.38,177.29,13.82,6.55,965.19,5360,5360,,,1590
1992 12 31 12,35251.2,2.31,167.17,11.49,4.05,824.65,1590,1590,,,889
1993 01 01 12,35251.2,0,266.57,19.57,7.18,1014.59,889,889,,,669
1993 01 02 12,35251.2,0,307.82,19.81,3,760.22,669,669,,,520
1993 01 03 12,35251.2,0,236.5,12.86,3.2,776.02,520,520,,,416
1993 01 04 12,35251.2,0,234.42,13.93,4.34,827.11,416,416,,,368
1993 01 05 12,35253.89,13.29,198.18,20.35,8.28,1102.52,368,368,,,1050
1993 01 06 12,35417.39,11.41,144.13,19.05,11.3,1343.76,1050,1050,,,1750
1993 01 07 12,35571.41,2.58,122.71,15.57,10.39,1271.13,1750,1750,,,1630
1993 01 08 12,35596.83,43.88,109.98,14.64,9.13,1170.76,1630,1630,,,8080
1993 01 09 12,35596.83,11.81,141.71,13.61,6.44,954.99,8080,8080,,,7380
1993 01 10 12,35596.83,0,128.59,7.69,3.17,773.54,7380,7380,,,2640
1993 01 11 12,35596.83,1.33,85.2,6.14,3.2,776.05,2640,2640,,,1320
1993 01 12 12,35632.05,17.46,79.17,7.29,3.69,800.23,1320,1320,,,4310
1993 01 13 12,35828.06,19.13,114.08,11,5.58,919.69,4310,4310,,,5980
1993 01 14 12,35942.39,0,318.68,16.28,0.82,643.54,5980,5980,,,1870
1993 01 15 12,35942.39,0,287.25,11.93,0.04,606.83,1870,1870,,,1040
1993 01 16 12,35942.39,3.66,189.92,9.49,1.55,684.35,1040,1040,,,791
1993 01 17 12,35942.39,0,299.48,12.09,-0.49,599.82,791,791,,,659
1993 01 18 12,36173.67,0,314.43,14.85,0.84,645.19,659,659,,,540
1993 01 19 12,36288,0,269.46,13.73,3.22,773.73,540,540,,,454
1993 01 20 12,36288,0,203.52,9.18,2.09,720,454,454,,,400
1993 01 21 12,36288,23.29,114.81,7.58,2.47,726.48,400,400,,,1970
1993 01 22 12,36323.24,12.5,146.96,9.57,2.85,748.2,1970,1970,,,4130
1993 01 23 12,36608.18,0,357.98,17.21,-1.86,529.81,4130,4130,,,1570
1993 01 24 12,36633.6,0,361.77,17.95,-1.67,546.15,1570,1570,,,937
1993 01 25 12,36633.6,6.94,267.72,15.99,-1.73,538.96,937,937,,,1430
1993 01 26 12,36636.29,0,268.45,8.36,-1.14,566.43,1430,1430,,,856
1993 01 27 12,36953.79,0,322.19,8.63,-3.92,450.46,856,856,,,612
1993 01 28 12,36979.21,0,377.44,16.86,-3.88,449.3,612,612,,,499
1993 01 29 12,36979.21,0,373.68,17.93,-1.57,548.96,499,499,,,428
1993 01 30 12,37014.46,0,376.39,17.13,-2.16,521.75,428,428,,,384
1993 01 31 12,37324.82,0,371.18,15.18,-2.43,520,384,384,,,352
1993 02 01 12,37324.82,0,366.56,17.76,0.7,642.23,352,352,,,329
1993 02 02 12,37324.82,0,381.6,17,-2.25,519.5,329,329,,,302
1993 02 03 12,37610.05,0,378.6,10.9,-6.62,360.36,302,302,,,271
